"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","SN18180337","S","SFR/D","2185","Laurel ST  ","CHIC","","STD","$145,100","$155.69","2/1,0,0,0","932/A","1952/ASR","0.14/6,098","5/5","N","N","3","08/15/18","CRMLSM"
"1","SN18180441","S","SFR/D","8693","Chrishelle WAY  ","CHER","","STD","$172,000","$228.72","2/2,0,0,0","752/A","2009/ASR","6.6/287,496","12/12","Y","N","3","08/31/18","CRMLSM"
"1","SN18180896","S","SFR/D","14745","Nimshew RD  ","MAGA","","REO","$175,000","$211.86","2/1,0,0,0","826/A","1969/PUB","1.09/47,480","11/11","Y","N","2.5","08/31/18","CRMLSM"
"1","FR18181575","S","SFR/D","35853","Sierra Linda DR  ","WISH","","STD","$176,000","$175.30","1/1,0,0,0","1004/A","1954/ASR","0.3289/14,327","15/15","Y","N","3","09/14/18","CRMLSM"
"1","180041406","S","MANL","7202","San Luis    #165","CAR","","","$184,500","$137.28","2/2,0,0,0","1344/P","1973","","1/1","","N","2.25","08/31/18","SAND"
"1","180041132","S","CONDO/A","8665","Lake Murray    #5","SD","","","$228,800","$375.08","1/1,0,0,0","610/A","1975/ASR","","10/51","","N","3","08/31/18","SAND"
"1","180041395","S","CONDO/A","8665","Lake Murray Blvd    #1","SD","","","$235,000","$385.25","1/1,0,0,0","610/P","1975","","26/26","","N","2.25","08/31/18","SAND"
"1","MC18181564","S","SFR/D","5596","Mchenry RD  ","MERC","","STD","$254,000","$222.03","3/2,0,0,0","1144/A","1961/ASR","1/43,560","11/11","Y","N","2.5","08/17/18","CRMLSM"
"1","MC18181552","S","SFR/D","2815","Pioneer RD  ","MERC","","STD","$259,000","$199.85","3/2,0,0,0","1296/A","1963/ASR","2.5/108,900","5/5","N","N","2.5","09/05/18","CRMLSM"
"1","180041374","S","CONDO/A","12132","Wintergreen Drive    #1","LAK","","","$270,000","$346.15","2/1,0,0,0","780/P","1972","","3/3","","N","2.5","08/28/18","SAND"
"1","180041295","S","TWNHS","1245 N","Mollison Ave    #H","ELC","","","$290,000","$323.66","2/1,0,1,0","896/A","1973/ASR","","6/6","N","N","2.5","08/22/18","SAND"
"1","180041217","S","CONDO","7984","Mission Center Ct    #E","SD","","","$295,000","$406.34","2/1,0,0,0","726/A","1981","","12/12","","N","2.5","09/04/18","SAND"
"1","MC18181273","S","SFR/D","1520","Esplanade DR  ","MERC","","STD","$299,000","$127.89","4/2,0,1,0","2338/A","2007/ASR","0.1311/5,711","15/15","Y","N","2.5","09/14/18","CRMLSM"
"1","180041242","S","CONDO/A","6804","Hyde Park Dr    #G","SD","","","$322,000","$294.33","2/2,0,0,0","1094/A","1971","","7/7","","N","2.5","09/04/18","SAND"
"1","SN18180557","S","SFR/D","3321","Freshwater Creek   ","CHIC","","STD","$326,985","$267.14","3/2,0,0,0","1224/B","2018/BLD","0.1234/5,375","0/0","Y","N","2","07/26/18","CRMLSM"
"1","180041195","S","CONDO/A","1651 S","Juniper Street    #70","ESC","","","$330,000","$334.01","2/2,0,0,0","988/A","1980/ASR","","5/5","N","N","2.5","08/27/18","SAND"
"1","180041092","S","TWNHS/A","1651 S","Juniper St    #73","ESC","","","$330,000","$245.35","3/2,0,0,0","1345/A","1980/ASR","","18/18","","N","2.5","08/29/18","SAND"
"1","180041163","S","DPLX/A","3287","Anchor Circle   ","OCE","","","$335,000","$405.08","2/1,0,0,0","827/A","1972","","6/6","Y","N","2.5","08/24/18","SAND"
"1","180041296","S","CONDO/A","3101","Groton Way    #1","SD","","","$340,000","$387.69","1/1,0,0,0","877/A","1964/ASR","","6/6","","N","2.5","09/11/18","SAND"
"1","180041351","S","SFR/D","1019","6Th St   ","RAM","","","$347,600","$452.60","2/1,0,0,0","768/A","1952","","13/13","","N","2.5","08/30/18","SAND"
"1","180041224","S","CONDO","4583","Campus Avenue   ","SD","","","$350,000","$723.14","1/1,0,0,0","484/A","1955","","12/12","N","N","2.5","09/05/18","SAND"
"1","180041312","S","TWNHS","157","Fourth Ave    #A","CHU","","","$354,000","$226.92","3/2,0,1,0","1560/A","1965/ASR","","6/6","","N","2.5","08/29/18","SAND"
"1","180041075","S","CONDO/A","952","Picador Blvd   ","SD","","","$360,000","$293.88","3/2,0,0,0","1225/A","1974","","13/13","","N","2.5","09/04/18","SAND"
"1","180041156","S","CONDO/A","1353","Caminito Capistrano    #1","CHU","","","$365,000","$319.89","2/2,0,0,0","1141/A","2002","","14/14","","N","2","09/10/18","SAND"
"1","180041085","S","CONDO/A","4168","Baycliff Way   ","OCE","","","$372,000","$384.30","2/1,0,0,0","968/A","1979","","10/10","","N","2","09/04/18","SAND"
