"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","180048066","S","MANL/D","12","Via Veneto    #12","CHU","","","$89,000","$89.00","2/2,0,0,0","1000/P","2006","","8/8","","N","2500","09/14/18","SAND"
"1","180047253","S","CONDO/A","1653","Pentecost Way    #1","SD","","","$158,000","$236.53","1/1,0,0,0","668/A","1980","","1/1","","N","2.5","09/07/18","SAND"
"1","180046958","S","CONDO/A","6101","Adelaide Ave    #107","SD","","","$168,250","$562.71","0/1,0,0,0","299/A","1984/ASR","","5/5","","N","2.5","09/14/18","SAND"
"1","180047651","S","CONDO/A","589 N","Johnson    #137","ELC","","","$175,000","$198.19","2/1,0,0,0","883/","1980","","4/4","","N","500","08/28/18","SAND"
"1","180051931","S","SFR","3138","Roadrunner   ","BSPG","","","$190,000","$140.12","2/2,0,0,0","1356/A","1986","","0/135","","N","3","09/14/18","SAND"
"1","180048621","S","CONDO/A","9859","Mission Viejo Ct    #3","SAN","","","$215,000","$238.10","2/1,0,0,0","903/A","1972","","5/5","","N","2.5","09/13/18","SAND"
"1","180046204","S","CONDO/A","5648","Amaya Dr    #136","LMSA","","","$242,000","$401.99","1/1,0,0,0","602/A","1997","","2/2","","N","","08/28/18","SAND"
"1","180047374","S","CONDO/A","6780","Friars Rd    #102","SD","","","$245,000","$485.15","0/1,0,0,0","505/A","1972","","5/5","","N","2.5","09/13/18","SAND"
"1","MD18209408","S","SFR/D","1108 S","Berry DR  ","MDRA","","STD","$247,000","$172.25","3/2,0,0,0","1434/A","2008/PUB","0.2407/10,485","11/11","Y","N","2","09/10/18","CRMLSM"
"1","180047682","S","CONDO/A","7747","Margerum Ave    #232","SD","","","$250,000","$393.70","1/1,0,0,0","635/A","1978","","0/0","","N","2.5","08/24/18","SAND"
"1","MC18206507","S","MANL/D","16932","Quartz ST  ","JMST","","STD","$250,000","$160.26","3/2,0,0,0","1560/A","1996/ASR","0.46/20,038","1/1","Y","N","2.5","09/07/18","CRMLSM"
"1","180052269","S","DPLX","5345","Caminito Mindy   ","SD","","","$251,000","$246.08","3/1,0,1,0","1020/A","1973","","0/0","","N","2.5","09/17/18","SAND"
"1","180047559","S","SFR","3742","Thorn   ","SD","","","$260,000","$236.36","3/1,0,0,0","1100/A","1938","","0/0","","N","","08/22/18","SAND"
"1","180046449","S","CONDO/A","1453","Melrose    #9","CHU","","","$265,000","$270.41","2/1,0,0,0","980/P","1972","","10/10","","N","2.5","09/05/18","SAND"
"1","SN18205809","S","SFR/D","1015","Green ST  ","WLLS","","STD","$265,000","$171.85","3/2,0,0,0","1542/A","1999/ASR","0.2018/8,792","1/1","Y","N","2.5","09/14/18","CRMLSM"
"1","OR18205709","S","SFR/D","834","Alice LN  ","CHIC","","STD","$270,000","$202.25","3/1,1,0,0","1335/A","1957/ASR","0.18/7,841","1/1","Y","N","3","08/31/18","CRMLSM"
"1","MC18203722","S","SFR/D","1996","Pebble Beach DR  ","MERC","","STD","$277,000","$177.22","3/2,0,0,0","1563/A","1993/ASR","0.21/9,148","7/7","Y","N","2.5","09/05/18","CRMLSM"
"1","180047276","S","CONDO/A","1021","Scott St    #209","SD","","","$280,000","$972.22","0/1,0,0,0","288/A","1980","","2/2","","N","2.5","08/31/18","SAND"
"1","180048928","S","CONDO/A","3050","Rue DOrleans    #385","SD","","","$310,000","$566.73","1/1,0,0,0","547/A","1969/ASR","","0/0","","N","2.25","08/31/18","SAND"
"1","SN18203031","S","SFR/D","773","Skylark DR  ","CHIC","","STD","$315,000","$177.36","3/2,0,0,0","1776/A","1987/ASR","0.19/8,276","3/3","Y","N","0","06/29/18","CRMLSM"
"1","180046830","S","CONDO/A","9929","Azuaga St    #204","SD","","","$325,000","$433.33","2/1,0,0,0","750/A","1992","","10/10","","N","2.5","09/14/18","SAND"
"1","180050410","S","SFR/D","664","Rancho Vista Rd   ","VST","","","$326,000","$215.61","3/2,0,0,0","1512/A","1970","","5/5","N","N","2.5","09/17/18","SAND"
"1","180048765","S","SFR/D","9531","Deerbrook St   ","RCUC","","","$335,000","$236.92","3/2,0,0,0","1414/A","1977/ASR","","4/4","","N","2.5","09/10/18","SAND"
"1","180046464","S","TWNHS/A","1176","Denver Lane    #A","ELC","","","$335,000","$300.18","3/1,0,1,0","1116/A","1973/ASR","","4/4","","N","2.5","09/14/18","SAND"
