"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","SN18184695","S ","SFR/D","415","Ventura AVE  ","REBL","","REO","$31,000","$37.58","1/1,0,0,0","825/A","1972/ASR","0.3072/13,382","23/23","Y","N","3","08/24/18","CRMLSM"
"1","180042217","S","MOB/D","2130","Sunset Dr    #SPC 96","VST","","","$89,900","$62.43","2/2,0,0,0","1440/A","1975/ASR","","5/5","","N","2000","08/22/18","SAND"
"1","SN18183564","S","SFR/D","540","North ST  ","MTAG","","STD","$118,000","$60.57","3/3,0,0,0","1948/A","1976/ASR","7.4/322,344","16/16","Y","N","2.5","08/24/18","CRMLSM"
"1","MC18185918","S","SFR/D","2581 E","Gerard AVE  ","MERC","","REO","$149,000","$139.91","3/2,0,0,0","1065/A","1957/ASR","0.19/8,276","19/19","Y","N","2.5","08/29/18","CRMLSM"
"1","180042160","S","SFR/D","8275","SAN VICENTE   ","SD","","","$200,000","$219.78","3/1,0,0,0","910/A","1954/ASR","","0/0","N","N","3","09/05/18","SAND"
"1","SN18185414","S","MANL/D","15","Bull Creek LN  ","COHA","","STD","$225,000","$163.64","3/2,0,0,0","1375/A","2006/ASR","1.13/49,223","4/4","Y","N","3","09/14/18","CRMLSM"
"1","SN18184631","S","SFR/D","1921","Mount Ida RD  ","OROV","","STD","$240,000","$198.68","3/2,0,0,0","1208/A","1964/ASR","0.5/21,780","2/2","Y","N","3","08/24/18","CRMLSM"
"1","SN18184189","S","DPLX/D","472 E","21st ST  ","CHIC","","STD","$250,000","$186.57","3/2,0,0,0","1340/A","1981/ASR","0.15/6,534","3/3","Y","N","2.5","08/17/18","CRMLSM"
"1","SN18183596","S","SFR/D","94","Artesia DR  ","CHIC","","STD","$267,000","$240.97","3/2,0,0,0","1108/A","1992/ASR","0.21/9,148","3/3","Y","N","2.5","09/14/18","CRMLSM"
"1","180042045","S","CONDO/A","8150","Winter Gardens Boulevard    #22","LAK","","","$269,900","$292.10","2/1,0,1,0","924/A","1979/ASR","","9/9","","N","2.5","08/31/18","SAND"
"1","180042373","S","CONDO/A","12650","Lakeshore Drive    #134","LAK","","NOD","$304,000","$238.24","3/2,0,1,0","1276/A","1981","","7/7","","N","2.5","09/04/18","SAND"
"1","180042149","S","CONDO/A","3535","Grove St    #222","LEG","","","$306,000","$299.41","2/2,0,0,0","1022/A","2005/ASR","","8/8","Y","N","2.5","09/07/18","SAND"
"1","SN18184908","S","SFR/D","3106","Godman AVE  ","CHIC","","STD","$315,000","$209.58","3/2,0,0,0","1503/A","2011/ASR","0.13/5,663","6/6","Y","N","3*","09/17/18","CRMLSM"
"1","180042016","S","CONDO/A","18736","Caminito Cantilena    #184","SD","","","$319,900","$446.79","1/1,0,0,0","716/A","1993","","7/7","","N","2.5","08/27/18","SAND"
"1","MC18185002","S","SFR/D","2108","George Washington CT  ","ATW","","STD","$324,000","$139.66","4/2,0,1,0","2320/A","2005/ASR","0.2995/13,046","3/22","Y","N","2.5","08/28/18","CRMLSM"
"1","SN18183968","S","SFR/D","742","Kings Canyon WAY  ","CHIC","","STD","$329,000","$246.63","3/1,1,0,0","1334/A","1980/ASR","0.25/10,890","3/3","Y","Y","2.5","09/12/18","CRMLSM"
"1","180042459","S","CONDO/A","1044","Eider Way   ","OCE","","","$329,000","$309.21","2/2,0,0,0","1064/A","1981/ASR","","11/117","","N","2.5","08/31/18","SAND"
"1","180041957","S","CONDO/A","5985","Dandridge Lane    #98","SD","","","$345,000","$322.73","2/2,0,0,0","1069/A","1985","","36/36","","N","2.5","09/14/18","SAND"
"1","180042239","S","TWNHS/A","180","Bautista Ct    #82","OCE","","","$355,000","$325.39","2/2,0,0,0","1091/A","1997","","15/15","","N","2.5","08/31/18","SAND"
"1","SN18184983","S","SFR/D","2652","Chantel Way   ","CHIC","","STD","$357,000","$195.94","4/3,0,0,0","1822/A","1997/ASR","0.33/14,375","0/0","Y","N","2.5","07/30/18","CRMLSM"
"1","180042093","S","CONDO/A","1432","Water Lily Dr    #6","CHU","","","$362,000","$359.13","2/2,0,0,0","1008/P","2011","","14/14","","N","2.5","09/10/18","SAND"
"1","180042408","S","TWNHS/A","587","Portsmouth Dr    #C","CHU","","","$365,000","$274.02","3/2,0,1,0","1332/A","1988","","5/5","","N","2.5","08/27/18","SAND"
"1","180042156","S","SFR/D","3341","Marlborough Ave   ","SD","","","$375,000","$252.70","3/1,0,0,0","1484/A","1920/ASR","","6/6","N","N","3","08/21/18","SAND"
"1","180042052","S","SFR/D","3109","Clay Ave   ","SD","","","$380,000","$262.07","4/3,0,0,0","1450/OTH","2008","","3/63","N","N","2","09/04/18","SAND"
"1","180042282","S","CONDO/A","16555","Caminito Vecinos    #40","SD","","","$400,000","$352.73","2/2,0,0,0","1134/A","1971/ASR","","4/4","","N","2.5","09/11/18","SAND"
"1","180042237","S","CONDO/A","10220","Kerrigan St   ","SAN","","","$408,000","$321.77","3/2,0,1,0","1268/A","1981","","23/23","","N","2.5","09/14/18","SAND"
"1","180042442","S","SFR/D","331","Dorsey Wy   ","VST","","","$417,000","$310.04","3/2,0,0,0","1345/A","1983","","5/5","","N","2.5","09/05/18","SAND"
"1","180041959","S","CONDO/A","8525","Villa La Jolla Drive    #E","LAJ","","","$419,000","$606.37","1/1,0,0,0","691/A","1971","","2/2","","N","2.5","08/29/18","SAND"
