"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","180043613","S","SFR/D","255","Riverside Avenue   ","SGLF","","","$97,500","$135.42","2/1,0,0,0","720/A","1977/ASR","","10/10","","N","2.5","08/28/18","SAND"
"1","LC18189955","S","MANL/D","4491","Lodoga Stonyford RD  ","SFRD","","REO","$118,000","$96.17","3/2,0,0,0","1227/A","1994/PUB","5/217,800","24/24","Y","N","3","09/12/18","CRMLSM"
"1","SN18188494","S","MANL/D","6206","Calvary CT  ","MAGA","","STD","$123,500","$91.89","2/2,0,0,0","1344/A","1979/ASR","0.26/11,326","7/7","Y","N","2.5","09/10/18","CRMLSM"
"1","SN18190485","S","SFR/D","631","Glennwood Lane   ","WLLS","","STD","$155,000","$140.91","3/2,0,0,0","1100/A","1973/ASR","0.1377/6,000","7/7","Y","N","3","09/06/18","CRMLSM"
"1","SN18190222","S","SFR/D","6569","Pentz RD  ","PARA","","STD","$172,000","$186.15","2/1,0,1,0","924/A","1962/ASR","0.39/16,988","0/0","N","N","3","08/03/18","CRMLSM"
"1","180043686","S","CONDO/A","4253","Central Ave    #2","SD","","","$195,000","$370.02","1/1,0,0,0","527/P","1979","","11/129","","N","2.5","08/29/18","SAND"
"1","180043729","S","CONDO/A","1240 N","Broadway    #40","ESC","","STD","$216,500","$253.51","2/1,0,1,0","854/P","1978","","8/8","","N","2.5","09/10/18","SAND"
"1","SN18190263","S","SFR/D","2760","Monterey ST  ","CHIC","","STD","$245,000","$197.42","4/1,1,0,0","1241/A","1954/ASR","0.19/8,276","7/7","N","N","2","09/11/18","CRMLSM"
"1","180043267","S","CONDO","4201","Bonita Rd    #136","BON","","","$250,000","$326.37","1/1,0,0,0","766/A","1970","","12/12","","N","2.5","09/07/18","SAND"
"1","SN18188527","S","SFR/D","1052","Viceroy DR  ","CHIC","","STD","$263,500","$234.01","3/2,0,0,0","1126/A","2003/ASR","0.1/4,356","5/5","Y","N","2.5","09/06/18","CRMLSM"
"1","180043090","S","CONDO/A","4346","52nd St    #13","SD","","","$275,000","$332.13","2/2,0,0,0","828/A","1970/ASR","","20/20","","N","2.5","09/12/18","SAND"
"1","SN18190681","S","SFR/D","39","Skywalker CT  ","CHIC","","STD","$277,000","$234.55","3/2,0,0,0","1181/A","2005/ASR","0.09/3,920","6/6","N","N","2.5","08/31/18","CRMLSM"
"1","180043130","S","CONDO/A","7950","Mission Center Ct    #D","SD","","","$278,000","$382.92","2/1,0,0,0","726/A","1973/ASR","","7/7","","N","2.5","09/10/18","SAND"
"1","MC18190323","S","SFR/D","561","Curtis CT  ","ATW","","STD","$290,000","$169.29","3/2,0,0,0","1713/A","1979/ASR","0.18/7,841","5/5","Y","Y","2.5","09/12/18","CRMLSM"
"1","SN18190645","S","SFR/D","1819","Citrus AVE  ","CHIC","","STD","$295,000","$233.02","3/2,0,0,0","1266/S","1950/ASR","0.36/15,682","14/14","Y","N","2.5","08/31/18","CRMLSM"
"1","180043303","S","CONDO/A","10681","Carmel Mountain Road   ","SD","","","$299,000","$374.69","2/1,0,0,0","798/A","1971","","28/28","","N","2.5","09/14/18","SAND"
"1","180043666","S","/A","5006","Collwood Way    #79","SD","","","$325,000","$318.63","2/2,0,0,0","1020/A","1981","","3/3","","N","2","08/20/18","SAND"
"1","MC18190484","S","SFR/D","2681","Dels LN  ","TURL","","STD","$328,900","$186.35","3/2,0,0,0","1765/A","1978/ASR","0.1423/6,200","5/5","Y","N","3","09/13/18","CRMLSM"
"1","180043405","S","CONDO/A","13343","Rancho Penasquitos Blvd    #B104","SD","","","$345,000","$414.17","2/2,0,0,0","833/A","1992","","12/12","","N","2.5","08/31/18","SAND"
"1","SN18188293","S","SFR/D","3326","Freshwater Creek   ","CHIC","","STD","$345,100","$281.94","3/2,0,0,0","1224/B","2018/BLD","0.1475/6,425","1/1","Y","N","2","08/02/18","CRMLSM"
"1","SN18189815","S","SFR/D","2711","Burnap AVE  ","CHIC","","STD","$348,500","$219.60","3/2,0,0,0","1587/A","1959/ASR","0.5/21,780","5/5","Y","Y","2.5","09/05/18","CRMLSM"
"1","180043656","S","SFR/D","1665 S","Citrus   ","ESC","","","$350,000","$331.44","3/1,0,0,0","1056/E","1957","","0/0","","N","2","08/28/18","SAND"
"1","180043498","S","CONDO/A","3641","Avocado Village Court    #146","LMSA","","","$356,500","$352.27","2/1,0,0,0","1012/A","1986","","11/11","","N","2","09/13/18","SAND"
"1","SN18188961","S","SFR/D","428 W","16th ST  ","CHIC","","STD","$357,000","$239.28","5/2,0,0,0","1492/S","1934/PUB","0.17/7,405","7/7","Y","N","2.5","09/05/18","CRMLSM"
"1","180043377","S","CONDO/A","372","Roosevelt    #6","CHU","","","$360,000","$322.00","2/2,0,1,0","1118/A","2005","","16/16","","N","2","09/14/18","SAND"
"1","180043383","S","CONDO/A","1150","J St    #214","SD","","","$365,000","$496.60","1/1,0,0,0","735/A","2005","","8/8","","N","2.5","09/07/18","SAND"
"1","180043157","S","CONDO/A","2153","Bluehaven Ct.   ","SD","","","$370,000","$284.62","4/2,0,0,0","1300/E","1985","","15/15","","N","2.25","09/13/18","SAND"
"1","SN18189950","S","CONDO/A","13","Sierra Lakeside LN  ","CHIC","","STD","$375,000","$244.46","3/1,1,0,0","1534/A","1989/ASR","0.03/1,307","4/4","Y","N","2.5","08/27/18","CRMLSM"
"1","180043652","S","TWNHS/A","2483","Turnbridge Gln   ","ESC","","","$375,000","$324.96","2/2,0,0,0","1154/A","1981","","6/6","","N","2.5","09/10/18","SAND"
"1","180043097","S","CONDO/A","479","Nantucket Gln   ","ESC","","","$375,000","$266.71","4/2,0,0,0","1406/A","1985/ASR","","12/12","","N","2.5","09/05/18","SAND"
"1","180043123","S","CONDO/A","5402","Balboa Arms Drive    #Unit 309","SD","","STD","$383,500","$463.72","2/2,0,0,0","827/A","1995","","42/42","","N","2.5","08/31/18","SAND"
"1","180043305","S","SFR/D","78555","Sagebrush Ave.   ","LQ","","STD","$393,000","$216.29","3/2,0,0,0","1817/A","1992","","5/5","","","2.5","09/07/18","SAND"
