"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","SN18178436","S","MANL/D","1284","14th ST  ","OROV","","STD","$100,000","$104.17","2/2,0,0,0","960/A","1980/ASR","0.49/21,344","4/4","Y","N","3","08/15/18","CRMLSM"
"1","OR18177381","S","SFR/D","5760","Via Pacana   ","OROV","","STD","$161,000","$169.12","2/1,0,0,0","952/OTH","1980/OTH","0.16/6,970","5/5","Y","N","2.5","09/17/18","CRMLSM"
"1","MC18178736","S","SFR/D","2275","Stretch RD  ","MERC","","STD","$171,000","$143.34","3/2,0,0,0","1193/A","1961/ASR","0.1971/8,586","12/229","N","N","3","08/27/18","CRMLSM"
"1","SN18177987","S","SFR/D","318 W","Cedar ST  ","WLLS","","NOD","$182,500","$159.39","2/2,0,0,0","1145/A","2006/ASR","0.1435/6,250","4/4","Y","N","2.5","08/24/18","CRMLSM"
"1","SN18177185","S","SFR/D","315","Walnut ST  ","CORN","","STD","$185,000","$183.53","3/1,0,1,0","1008/A","1992/ASR","0.1126/4,906","3/3","Y","N","3","08/27/18","CRMLSM"
"1","MC18178247","S","SFR/D","84","Plainsburg Rd   ","PLAN","","STD","$190,000","$134.56","4/2,0,0,0","1412/A","2008/ASR","0.1592/6,934","4/4","Y","N","2.5","09/04/18","CRMLSM"
"1","PA18178442","S","SFR/D","374","Percy AVE  ","YUBA","","STD","$191,000","$206.71","3/1,0,0,0","924/A","1940/ASR","0.09/3,920","5/5","Y","N","3","08/31/18","CRMLSM"
"1","180040385","S","CONDO/A","3525","Grove St    #218","LEG","","","$220,000","$286.83","1/1,0,0,0","767/P","2005","","12/12","","N","2.5","09/05/18","SAND"
"1","180040496","S","SFR/D","947","David St   ","BRAW","","STD","$247,500","$163.69","4/2,0,0,0","1512/P","1993","","7/7","","N","2","09/05/18","SAND"
"1","SN18177284","S","SFR/D","1099 E","1st AVE  ","CHIC","","STD","$275,000","$227.09","3/1,0,0,0","1211/AP","1953/ASR","0.25/10,890","3/3","Y","N","3","08/22/18","CRMLSM"
"1","180040424","S","/A","11185","Kelowna Rd    #43","SD","","","$281,000","$402.58","2/1,0,0,0","698/A","1978","","4/4","","N","2.5","08/17/18","SAND"
"1","180040467","S","CONDO/A","909","Amistad Ct    #D","ELC","","","$300,000","$317.46","2/1,0,0,0","945/A","1973","","11/11","","N","2.5","08/28/18","SAND"
"1","180040618","S","TWNHS/A","1362 W","San Ysidro Blvd.    #B","SYSI","","","$320,000","$288.29","2/2,0,0,0","1110/A","1985/ASR","","3/42","","N","2.5","08/23/18","SAND"
"1","SN18178231","S ","SFR/D","6","Avante WAY  ","CHIC","","STD","$324,900","$268.96","3/2,0,0,0","1208/A","1993/ASR","0.16/6,970","11/11","N","N","2.25","09/04/18","CRMLSM"
"1","MC18177888","S","SFR/D","385","Noble DR  ","MERC","","STD","$327,000","$150.55","3/2,0,0,0","2172/A","2007/ASR","0.1446/6,299","24/24","Y","N","2.5","09/11/18","CRMLSM"
"1","180040410","S","TWNHS/A","2267","Kings View Circle   ","SPV","","","$335,000","$328.43","2/2,0,1,0","1020/A","1993","","9/9","","N","2.5","08/31/18","SAND"
"1","180040663","S","CONDO/A","3633","Avocado Village Court    #143","LMSA","","","$340,000","$318.35","2/2,0,0,0","1068/","1985/ASR","","7/7","","N","2.5","08/29/18","SAND"
"1","180040612","S","SFR/D","717","Arthur Ave   ","OCE","","","$345,000","$279.13","4/2,0,0,0","1236/A","1965/ASR","","13/13","","N","2.25","08/15/18","SAND"
"1","MC18177425","S","SFR/D","3227","Wooddale AVE  ","MERC","","STD","$349,900","$183.96","3/2,0,0,0","1902/A","1980/ASR","0.23/10,019","0/0","Y","N","2","08/31/18","CRMLSM"
"1","180040507","S","DPLX/A","3650","MIRA PACIFIC DR   ","OCE","","","$350,000","$423.22","2/1,0,0,0","827/A","1972/ASR","","5/5","","N","2.5","08/27/18","SAND"
"1","180040537","S","CONDO/A","10375","Azuaga St    #115","SD","","","$384,000","$435.87","2/2,0,0,0","881/A","1991/ASR","","9/9","","N","2.25","09/10/18","SAND"
"1","180040714","S","CONDO/A","535","Lands End Way    #190","OCE","","","$385,000","$345.29","3/2,0,0,0","1115/A","1995","","17/17","","N","2.5","09/12/18","SAND"
"1","MC18177379","S","SFR/D","4095","Toulon CT  ","MERC","","STD","$392,000","$133.20","4/3,0,0,0","2943/A","2007/ASR","0.1859/8,098","14/14","Y","N","2.5","09/14/18","CRMLSM"
"1","180040562","S","CONDO/A","1435","India St.    #404","SD","","","$395,000","$540.36","1/1,0,0,0","731/A","2005","","20/20","","N","2.5","08/31/18","SAND"
"1","180040683","S","DPLX","133","Jericho Circle Glen   ","ESC","","","$403,000","$298.96","3/2,0,0,0","1348/AP","1984/ASR","","9/9","","N","2.5","09/14/18","SAND"
"1","180040693","S","CONDO/A","1582","Sumac Place   ","CHU","","","$405,000","$286.83","3/3,0,0,0","1412/A","2004","","14/14","N","N","2.5","09/06/18","SAND"
"1","180040343","S","SFR/D","9714","Arapaho   ","SPV","","","$405,000","$380.64","3/2,0,0,0","1064/A","1963","","0/0","","N","2.5","08/28/18","SAND"
"1","180040534","S","CONDO/A","9959","Maya Linda Rd.    #26","MIM","","","$420,000","$396.98","2/2,0,0,0","1058/A","1985","","21/21","","N","2.5","09/12/18","SAND"
"1","180040477","S","SFR/D","3711","VAN DYKE AVE   ","SD","","","$435,000","$755.21","2/1,0,0,0","576/A","1914","","13/13","","N","2.5","08/31/18","SAND"
"1","180040597","S","CONDO","4434","Louisiana St    #1","SD","","","$437,000","$555.27","2/2,0,0,0","787/A","1986","","11/11","N","N","2.5","08/31/18","SAND"
"1","180040351","S","CONDO","4561","North Avenue    #4","SD","","","$439,000","$530.19","2/2,0,0,0","828/A","1981","","2/2","","N","3","08/23/18","SAND"
"1","180040660","S","SFR/D","8319","Elkhorn   ","LEG","","","$445,000","$427.06","3/2,0,0,0","1042/A","1977","","13/13","","N","2.5","08/22/18","SAND"
"1","SN18178150","S","SFR/D","3208","Grayeagle CT  ","CHIC","","STD","$450,000","$235.97","3/2,0,0,0","1907/AP","1998/ASR","0.25/10,890","3/3","Y","N","2.5","08/29/18","CRMLSM"
"1","180040367","S","CONDO/A","2236","Antonio Dr    #22","CHU","","","$465,000","$259.20","3/2,0,1,0","1794/","2012/ASR","","11/11","","N","2.5","09/13/18","SAND"
"1","180040722","S","CONDO/A","2618","Juan Street    #7","SD","","","$475,000","$482.72","2/1,0,0,0","984/P","1981","","24/24","","N","2.5","09/12/18","SAND"
"1","180040399","S","CONDO/A","3970","Ingraham St    #2","SD","","","$490,000","$511.48","2/1,0,1,0","958/A","1969","","18/18","N","N","2.5","09/07/18","SAND"
"1","180040529","S","TWNHS","13223","Midnight Star Way   ","LAK","","","$499,900","$285.98","4/2,0,1,0","1748/A","2016","","13/24","","N","2.5","09/04/18","SAND"
"1","180040526","S","SFR/D","7330","Gingersnap Drive   ","COR","","STD","$510,000","$255.00","4/2,0,0,0","2000/A","1984","","4/4","","N","2","09/07/18","SAND"
"1","180040525","S","TWNHS/A","3122","Via Simpatia   ","CAR","","","$510,000","$387.54","3/3,0,0,0","1316/A","2002/ASR","","10/10","","N","2.5","08/29/18","SAND"
"1","180040495","S","SFR/D","1618","Ginsberg Ct   ","SD","","","$515,000","$390.15","4/2,0,0,0","1320/A","1980","","0/0","","N","2.5","08/23/18","SAND"
"1","180040566","S","SFR/D","1815","Tilden Street   ","SD","","","$520,000","$206.27","6/3,0,0,0","2521/OTH","1951","","6/52","","N","2.5","08/28/18","SAND"
"1","318002937","S","SFR/D","3852","Bostwick ST  ","LA","","STD","$530,000","$516.57","3/1,0,0,0","1026/A","1954/ASR","0.1237/5,390","14/14","Y","N","2","09/07/18","ITECH"
"1","180040442","S","TWNHS/A","2474","Longstaff Ct   ","SAM","","","$532,000","$341.03","3/3,0,1,0","1560/A","2007/ASR","","5/5","N","N","2.5","08/31/18","SAND"
"1","180040595","S","SFR/D","8222","BEAVER LAKE DRIVE   ","SD","","","$544,900","$435.57","3/2,0,0,0","1251/A","1960","","7/7","","N","2.5","08/31/18","SAND"
"1","180040669","S","SFR/D","5979","Chaumont Dr   ","SD","","","$548,000","$295.42","3/2,0,0,0","1855/A","1979","","6/6","","N","2.5","08/20/18","SAND"
"1","180040554","S","SFR/D","4181","Kimberly Ln   ","OCE","","","$565,000","$352.46","4/2,0,0,0","1603/A","1976","","16/16","N","N","2.5","09/06/18","SAND"
"1","180040527","S","SFR/D","8645","hillery drive   ","MIM","","","$565,000","$336.31","3/2,0,0,0","1680/A","1970/ASR","","7/7","","N","3","08/29/18","SAND"
"1","180040673","S","SFR/D","7227","Viewcrest Dr   ","SD","","","$568,000","$303.09","4/2,0,1,0","1874/A","1978/ASR","","10/10","","N","2.5","08/31/18","SAND"
"1","180040619","S","SFR/D","766","Baylor Ave   ","CHU","","","$568,500","$401.48","4/2,0,0,0","1416/A","1970/ASR","","13/13","","N","2.5","08/27/18","SAND"
"1","SN18177372","S","SFR/D","472","Entler AVE  ","CHIC","","STD","$575,000","$340.24","3/3,0,0,0","1690/S","1966/ASR","1.21/52,708","5/5","Y","Y","3","08/27/18","CRMLSM"
"1","180040512","S","SFR/D","1301","Monte Sereno Ave   ","CHU","","","$590,000","$302.25","4/2,0,1,0","1952/OTH","2000","","18/18","","N","2.5","09/11/18","SAND"
"1","180040708","S","CONDO/A","9708","Aviary Drive   ","SD","","","$600,000","$354.19","4/2,0,1,0","1694/A","1979/ASR","","14/14","","N","2.5","09/07/18","SAND"
"1","180040419","S","SFR/D","172","Carey Rd   ","OCE","","","$609,000","$400.66","3/2,0,0,0","1520/A","1960","","18/18","","N","2.5","09/10/18","SAND"
"1","180040580","S","/A","308","Volney Lane   ","ENCS","","","$612,000","$579.55","3/2,0,0,0","1056/P","1974/ASR","","7/7","","N","2.5","08/17/18","SAND"
"1","180040481","S","SFR/D","4256","Mount Castle Ave   ","SD","","","$615,000","$528.35","3/2,0,0,0","1164/P","1958","","21/21","","N","2","08/22/18","SAND"
"1","180040594","S","CONDO/A","11150","Taloncrest Way    #36","SD","","","$618,000","$488.92","2/2,0,0,0","1264/A","2013","","9/9","","N","2.5","09/04/18","SAND"
"1","180040606","S","SFR/D","9040","Christata Way   ","LAK","","","$630,000","$265.49","4/4,0,0,0","2373/A","1998","","8/8","","N","2.5","08/28/18","SAND"
"1","180040408","S","SFR/D","6452","Jackson DR   ","SD","","","$633,000","$378.14","3/2,0,0,0","1674/AP","1962/ASR","","7/7","","N","2.5","09/07/18","SAND"
"1","180040493","S","SFR/D","2926","Lucia Jade Loop   ","SD","","","$635,055","$285.93","4/3,0,0,0","2221/A","2018","","27/521","","N","20000","08/31/18","SAND"
"1","180040628","S","TWNHS/A","2327","Caminito Recodo   ","SD","","","$675,000","$445.25","3/2,0,1,0","1516/A","1973","","12/12","","N","2.5","08/24/18","SAND"
"1","180040406","S","SFR/D","1360","Surfwood Lane   ","SD","","","$675,000","$215.04","6/3,0,0,0","3139/A","2000","","2/2","","N","2","08/26/18","SAND"
"1","180040709","S","SFR/D","13445","Floral Ave   ","POW","","","$679,900","$359.55","5/3,0,0,0","1891/A","1971/ASR","","4/62","Y","Y","2.5","08/26/18","SAND"
"1","180040346","S","SFR/D","1501","Del Mar Rd   ","OCE","","","$688,000","$346.42","4/2,0,0,0","1986/P","1988","","12/12","","N","2.5","09/10/18","SAND"
"1","180040710","S","SFR/D","2239","33Rd St   ","SD","","STD","$695,000","$518.66","3/2,0,0,0","1340/","1921/ASR","","28/28","Y","N","2.5","09/13/18","SAND"
"1","180040370","S","SFR/D","2981","Monarch Street   ","SD","","","$728,500","$406.08","4/2,0,0,0","1794/P","1957","","9/9","","N","2.5","08/30/18","SAND"
"1","180040472","S","SFR/D","7157","Lantana Terrace   ","CAR","","","$750,000","$592.89","2/2,0,0,0","1265/AP","1988","","5/5","","N","2","08/16/18","SAND"
"1","180040677","S","SFR/D","13763","Royal Melbourne Square   ","SD","","","$786,000","$307.51","5/3,0,0,0","2556/A","1989","","13/13","Y","N","2.5","09/05/18","SAND"
"1","18367750","S","SFR/D","5018 S","VERDUN AVE  ","LA","","STD","$870,000","$387.53","2/3,0,0,0","2245/","1949/ASR","0.1414/6,160","17/17","Y","N","2.5","08/24/18","CLAW"
"1","180040516","S","SFR/D","4343","Coronado   ","SD","","","$900,000","$934.58","2/1,0,0,0","963/P","1950","","8/8","","N","2.5","08/27/18","SAND"
"1","180040373","S","SFR/D","10719","Charbono Terrace   ","SD","","","$925,500","$373.19","4/2,0,1,0","2480/A","1978/ASR","","10/10","","Y","2.5","09/17/18","SAND"
"1","180040480","S","SFR/D","2282","Penrose Street   ","SD","","","$1,075,000","$517.82","4/3,0,0,0","2076/A","1953/ASR","","8/8","","N","2.5","09/14/18","SAND"
"1","180040685","S","SFR/D","1005 S","Tremont St   ","OCE","","","$1,100,000","$453.42","3/3,0,1,0","2426/A","2009","","17/17","Y","N","2.5","08/24/18","SAND"
"1","180040465","S","SFR/D","1231","Moana Dr   ","SD","","","$1,168,000","$744.42","4/2,0,0,0","1569/A","1950","","9/9","N","N","2.5","08/22/18","SAND"
"1","180040455","S","SFR/D","8252","Via Escalada   ","SD","","","$1,280,000","$338.98","5/4,0,1,0","3776/A","1999","","30/30","Y","N","2","09/12/18","SAND"
"1","180040374","S","CONDO","3415","6Th Ave    #9","SD","","","$1,550,000","$679.82","2/2,0,1,0","2280/A","2009","","18/18","Y","N","2.5","09/07/18","SAND"
"1","180040466","S","SFR/D","5525","Bahia Lane   ","LAJ","","","$1,571,900","$627.25","4/2,0,1,0","2506/A","1971","","16/16","","N","2.5","09/07/18","SAND"
"1","180040604","S","DPLX/A","2121","Manchester Ave   ","CAS","","","$2,250,000","$950.97","3/3,0,1,0","2366/D","2018","","9/9","","N","2.5","09/10/18","SAND"
"1","180040561","S","SFR/D","1007","Cordova   ","SD","","","$3,750,000","$672.89","7/5,0,1,0","5573/AP","1927/ASR","","17/98","Y","Y","2.5","08/29/18","SAND"
"1","180040567","S","SFR/D","6819","Paseo Laredo   ","LAJ","","","$5,900,000","$959.66","5/6,0,1,0","6148/D","2018","","7/119","Y","","2.5","09/05/18","SAND"
"1","PW18178386","S","SFR/D","41 W","Neapolitan LN  ","LONG","1","STD","$1,391,165","$526.16","4/3,0,1,0","2644/A","2006/ASR","0.0551/2,401","20/82","Y","N","2.5","08/17/18","CRMLSM"
"1","PW18177548","S","COOP/A","1320","Mayfield Rd. M6-#62L   ","SLB","1A","STD","$319,000","$290.00","2/1,0,0,0","1100/E","1962/ASR","0.0275/1,200","0/111","Y","N","2.5","08/27/18","CRMLSM"
