"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","MC18194737","S","CONDO/A","1922","Shadowbrook DR  ","MERC","","STD","$79,000","$81.28","2/1,0,1,0","972/A","1984/ASR","0.0116/505","4/4","Y","N","3","08/31/18","CRMLSM"
"1","MC18194011","S ","SFR/D","156 W","26th ST  ","MERC","","STD","$170,000","$183.78","2/1,0,1,0","925/A","1920/ASR","0.17/7,405","9/9","N","N","2.5","08/31/18","CRMLSM"
"1","180044164","S","TWNHS/A","3295","Ocean View Blvd    #30","SD","","","$218,000","$257.68","2/1,0,0,0","846/A","1984/ASR","","6/6","","N","2.5","09/11/18","SAND"
"1","MC18193840","S","SFR/D","1844","Demoss CT  ","MERC","","STD","$243,000","$173.57","3/2,0,0,0","1400/A","2002/ASR","0.151/6,578","2/2","Y","N","2.5","09/07/18","CRMLSM"
"1","180043823","S","CONDO/A","830 W","Lincoln Ave    #170","ESC","","","$245,000","$311.31","2/1,0,0,0","787/A","1979/ASR","","14/14","","N","2.25","09/10/18","SAND"
"1","180043884","S","CONDO","9860","BUENA VISTA Ave.    #2","SAN","","","$248,000","$274.64","2/1,0,0,0","903/P","1972","","9/9","","N","3","09/04/18","SAND"
"1","180044372","S","CONDO/A","510","Calle Montecito    #54","OCE","","","$249,000","$290.89","2/2,0,0,0","856/A","1985","","6/6","","N","2.5","09/10/18","SAND"
"1","OR18193928","S","SFR/D","523","Hillcrest AVE  ","OROV","","STD","$249,500","$186.19","3/2,0,0,0","1340/OTH","1992/OTH","0.25/10,890","4/4","Y","N","3","09/12/18","CRMLSM"
"1","180044421","S","TWNHS/A","4338","Altadena Ave.    #206","SD","","","$250,000","$333.78","2/1,0,0,0","749/A","1981/ASR","","4/4","","N","2.5","09/12/18","SAND"
"1","180044304","S","CONDO/A","12191","Cuyamaca College Dr E    #514","ELC","","","$255,000","$400.94","1/1,0,0,0","636/A","1995","","4/4","","N","2.5","09/13/18","SAND"
"1","MC18192574","S","SFR/D","3414","Wathen AVE  ","MERC","","STD","$259,900","$163.77","3/2,0,0,0","1587/A","1976/ASR","0.15/6,534","4/4","Y","N","3","09/13/18","CRMLSM"
"1","180043799","S","/A","5523","Adobe Falls Rd    #12","SD","","","$280,000","$250.90","3/2,0,0,0","1116/A","1973/ASR","","6/6","","N","2.5","08/20/18","SAND"
"1","MC18193806","S","SFR/D","380 W","Alexander AVE  ","MERC","","STD","$300,000","$154.48","4/2,0,0,0","1942/A","1969/ASR","0.28/12,197","5/5","Y","Y","3","09/13/18","CRMLSM"
"1","SN18192052","S","SFR/D","178","Remington DR  ","CHIC","","STD","$302,000","$243.16","3/2,0,0,0","1242/P","1998/PUB","0.1/4,356","7/7","Y","N","2.5","09/06/18","CRMLSM"
"1","180044188","S","CONDO/A","9728","Marilla Dr    #712","LAK","","","$320,000","$338.98","2/2,0,0,0","944/A","2006/ASR","","7/7","","N","2.5","09/17/18","SAND"
"1","180044270","S","CONDO/A","560","Telegraph Canyon Rd    #A","CHU","","","$335,000","$282.46","3/2,0,0,0","1186/A","1981","","15/15","","N","2.5","09/14/18","SAND"
"1","180043980","S","CONDO/A","2208","River Run Dr    #55","SD","","","$347,000","$373.92","2/1,0,0,0","928/A","1985","","9/9","","N","2.5","09/17/18","SAND"
"1","180044522","S","CONDO/A","8440","Via Mallorca    #223","LAJ","","STD","$350,000","$691.70","1/1,0,0,0","506/A","2000","","7/7","","N","2","09/10/18","SAND"
"1","180044073","S","CONDO/A","11517","Fury Ln    #60","ELC","","","$355,000","$365.98","2/2,0,0,0","970/A","1989","","6/6","","N","2.5","09/13/18","SAND"
"1","180044476","S","CONDO/A","1488","Gustavo St    #B","ELC","","","$360,000","$303.03","2/2,0,0,0","1188/A","1980","","4/4","","N","2.5","09/17/18","SAND"
"1","180043755","S","SFR/D","29124","Portland Court   ","TEM","","","$389,900","$247.24","3/2,0,1,0","1577/A","2006","","7/85","","N","2.5","09/13/18","SAND"
"1","180044627","S","CONDO/A","7705","El Cajon Blvd    #6","LMSA","","","$400,000","$311.28","2/2,0,1,0","1285/A","2006","","5/5","","N","2.5","09/14/18","SAND"
"1","180043832","S","SFR/D","1340","Somermont   ","ELC","","","$400,000","$302.57","3/2,0,0,0","1322/A","1952","","7/7","","N","2.5","08/27/18","SAND"
"1","180044077","S","SFR/D","7808","Palm St   ","LEG","","","$404,000","$369.96","3/1,0,0,0","1092/A","1957","","5/5","","N","2.5","09/04/18","SAND"
"1","180044596","S","SFR/D","10372","Eve Way   ","SAN","","","$408,000","$328.50","3/2,0,0,0","1242/A","1979","","4/4","N","N","2.5","09/12/18","SAND"
"1","180043849","S","SFR/D","9410","pike   ","SAN","","","$420,000","$442.11","3/1,0,0,0","950/A","1960","","0/0","","N","2.5","08/20/18","SAND"
"1","180043955","S","CONDO/A","5722","Riley St    #9","SD","","","$422,000","$412.11","2/2,0,0,0","1024/A","1989/ASR","","8/8","","N","2.25","09/12/18","SAND"
"1","180044265","S","CONDO/A","1433","SHEARWATER STREET    #4","CHU","","","$425,000","$247.24","4/3,0,1,0","1719/A","2016/ASR","","6/6","","N","2.5","08/31/18","SAND"
"1","180044171","S","TWNHS/A","1376","Caminito Veranza Unit 1   ","CHU","","","$429,000","$340.75","3/2,0,1,0","1259/A","2013","","8/8","","N","2.5","09/17/18","SAND"
"1","180044550","S","SFR/D","597","Mulgrew St   ","ELC","","","$435,000","$415.08","3/1,0,1,0","1048/A","1961/ASR","","4/4","","N","2.5","09/14/18","SAND"
"1","180044275","S","SFR/D","361","palomar   ","CHU","","","$435,000","$305.48","2/1,0,0,0","1424/A","1920","","3/3","","N","","08/30/18","SAND"
"1","180043829","S","SFR/D","1411","Kingston Dr   ","ESC","","","$441,500","$287.62","3/2,0,0,0","1535/A","1974","","10/10","","N","2.5","09/05/18","SAND"
"1","180044150","S","SFR/D","2754","PREECE ST   ","SD","","","$445,000","$582.46","2/1,0,0,0","764/A","1948","","3/204","N","N","2.5","08/27/18","SAND"
"1","180044619","S","SFR/D","407 W","7Th Ave   ","ESC","","","$454,000","$290.28","4/2,0,0,0","1564/A","1944","","5/38","","N","2.5","09/10/18","SAND"
"1","180044098","S","SFR/D","24411","Trailblazer Lane   ","MENF","","STD","$456,000","$154.63","4/2,0,1,0","2949/","2018/BLD","","4/4","","N","3","09/05/18","SAND"
"1","180043818","S","SFR/D","625","Hardell   ","VST","","","$458,000","$258.61","3/2,0,1,0","1771/A","1973","","3/3","","N","2.5","08/22/18","SAND"
"1","180044657","S","SFR/D","1164","Kostner Drive   ","SD","","","$479,000","$280.12","5/2,0,0,0","1710/A","1971","","11/23","","N","2.5","09/14/18","SAND"
"1","180043939","S","CONDO/A","8396","Summerdale Rd    #B","SD","","","$480,000","$418.85","2/2,0,1,0","1146/A","1980","","19/19","","N","2.25","08/20/18","SAND"
"1","180043833","S","SFR/D","641","Paseo Rio   ","VST","","","$480,000","$278.26","3/2,0,1,0","1725/A","1991","","6/6","","N","2.5","08/31/18","SAND"
"1","180044181","S","SFR/D","705","Dane Dr   ","SAM","","","$481,500","$315.94","4/2,0,0,0","1524/A","1989","","12/12","","N","2.5","08/24/18","SAND"
