"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","170057339","S","","3200","Carlsbad Blvd   ","CAR","","","$3,500","$2.80","/2,0,1,0","1249/","1986","","151/151","Y","","3","05/01/18","SAND"
"1","SN18201111","S","SFR/D","21819","Ottman AVE  ","REBL","","STD","$105,000","$80.03","3/1,0,0,0","1312/A","1960/ASR","1.67/72,745","5/5","Y","N","2.5","09/04/18","CRMLSM"
"1","170046897","S","","835","Felspar   ","SD","","","$115,000","$66.59","/2,0,1,0","1727/","2007","","268/268","Y","N","3.5","12/28/17","SAND"
"1","SN18199162","S","CONDO/A","1359","Nord AVE  ","CHIC","","PRO","$131,000","$137.89","2/1,0,0,0","950/A","1982/ASR","0.03/1,307","9/9","Y","N","3","09/13/18","CRMLSM"
"1","PA18195539","S","SFR/D","5781","Kenglo DR  ","PARA","","TPAP","$160,000","$137.22","2/1,0,0,0","1166/A","1966/ASR","0.25/10,890","3/3","Y","N","3","09/10/18","CRMLSM"
"1","MC18200760","S","SFR/D","949 W","6th ST  ","MERC","","STD","$168,000","$152.45","3/1,0,0,0","1102/A","1973/PUB","0.14/6,098","4/4","Y","N","2.5","08/28/18","CRMLSM"
"1","MC18200326","S","SFR/D","332","Pamela CT  ","MERC","","STD","$185,000","$129.37","4/2,0,0,0","1430/A","1983/ASR","0.17/7,405","14/14","Y","N","2.5","09/14/18","CRMLSM"
"1","180045353","S","SFR/D","29988","Morena View Drive   ","CAMP","","","$195,000","$293.67","2/1,0,0,0","664/E","1965","","8/8","N","N","2.5","08/31/18","SAND"
"1","180015967","S","CONDO","325","7Th Ave    #1603","SD","","","$203,000","$228.86","/2,0,0,0","887/A","2007","","39/39","Y","N","2.5","06/15/18","SAND"
"1","180044754","S","CONDO/A","432","Edgehill Ln    #86","OCE","","","$250,000","$311.72","2/1,0,0,0","802/A","1979/ASR","","9/9","","N","2.5","08/30/18","SAND"
