"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","OR18179962","S","SFR/D","12952","CDF Loop   ","PASK","","REO","$39,900","$45.24","3/1,0,0,0","882/A","1950/ASR","0.13/5,663","13/13","Y","N","2.5","09/07/18","CRMLSM"
"1","MC18179117","S","SFR/D","1640","Castle ST  ","ATW","","STD","$177,000","$209.22","2/1,0,0,0","846/A","2000/ASR","0.69/30,056","0/0","Y","N","1.5","08/10/18","CRMLSM"
"1","180040765","S","MANL","1219 E","Barham    #160","SAM","","","$235,000","$163.19","2/2,0,0,0","1440/E","1973","","9/9","Y","N","3","08/21/18","SAND"
"1","180041054","S","CONDO/A","6333","College Grove Way    #1123","SD","","","$265,000","$306.36","2/1,0,1,0","865/A","1973/ASR","","4/4","","N","2.5","09/13/18","SAND"
"1","180040816","S","TWNHS/A","2171","Berry St   ","LEG","","","$275,000","$321.64","2/1,0,0,0","855/A","1972","","10/10","","N","2.5","09/13/18","SAND"
"1","180040966","S","SFR/D","26032","Amy Lane   ","HMT","","","$275,000","$140.02","3/2,0,0,0","1964/A","1970","","12/12","","N","2.5","09/11/18","SAND"
"1","180040881","S","CONDO/A","11233","Tierrasanta Blvd    #39","SD","","","$280,000","$327.87","1/1,0,1,0","854/A","1981","","27/27","N","N","2.5","09/11/18","SAND"
"1","180040981","S","CONDO/A","4082","Valeta St    #363","SD","","","$282,000","$422.16","1/1,0,0,0","668/A","1969","","12/12","","N","2.5","09/05/18","SAND"
"1","180040826","S","CONDO/A","7087","Russan Lane   ","LEG","","","$305,000","$353.01","2/1,0,1,0","864/A","1972","","6/6","","N","2.5","08/28/18","SAND"
"1","180041002","S","CONDO/A","1107","Decker Street    #B","ELC","","","$305,000","$273.30","2/1,0,1,0","1116/A","1985/ASR","","5/5","","N","2.5","08/28/18","SAND"
"1","SN18179781","S","SFR/D","2394","Durham ST  ","DURH","","STD","$315,000","$259.90","3/2,0,0,0","1212/A","1918/ASR","0.19/8,276","8/8","Y","N","3","09/14/18","CRMLSM"
"1","180041008","S","CONDO/A","415","Gravilla St    #12","LAJ","","","$335,000","$920.33","0/1,0,0,0","364/A","1960/ASR","","11/11","","N","2.5","08/27/18","SAND"
"1","180040954","S","CONDO/A","1002","30th    #107","SD","","","$340,000","$428.75","2/1,0,0,0","793/A","1984","","7/7","","N","2.5","08/23/18","SAND"
"1","180040958","S","CONDO","6191","Rancho Mission Road    #308","SD","","","$340,000","$392.61","2/1,0,0,0","866/A","1979","","11/11","Y","N","2.5","09/04/18","SAND"
"1","180041011","S","SFR/D","18780","Lawson Hills Rd   ","JAM","","","$345,000","$299.48","3/2,0,0,0","1152/P","1993","","11/11","","N","2.5","09/07/18","SAND"
"1","SN18178911","S","SFR/D","6683","Shay LN  ","PARA","","STD","$345,001","$199.08","3/2,0,0,0","1733/A","1979/ASR","0.36/15,682","3/3","Y","N","3","08/27/18","CRMLSM"
"1","180041014","S","SFR/D","2698","SUNSET LN   ","SB","","STD","$351,000","$255.64","3/2,0,0,0","1373/A","2002","","4/4","","N","2.5","08/22/18","SAND"
"1","180040905","S","CONDO/A","1080","Park Blvd    #1103","SD","","","$352,750","$570.79","0/1,0,0,0","618/A","2007/ASR","","27/27","Y","N","2.5","09/14/18","SAND"
"1","180040770","S","CONDO/A","100","Sea Cliff Way    #106","OCE","","","$365,000","$354.37","2/2,0,0,0","1030/A","1990","","25/25","","N","2.5","08/31/18","SAND"
"1","180040476","S","MANL/D","5120","Weymouth Way   ","OCE","","STD","$370,000","$222.89","2/2,0,0,0","1660/P","1988","","5/5","Y","N","2.5","08/28/18","SAND"
"1","180040820","S","TWNHS/A","541","Almond Rd   ","SAM","","","$375,000","$426.62","2/2,0,1,0","879/A","2004","","23/23","","N","2.5","09/13/18","SAND"
"1","180040971","S","TWNHS/A","3621","Vista Campana South    #24","OCE","","","$379,000","$256.08","3/2,0,0,0","1480/A","1967","","2/63","","N","2.5","08/17/18","SAND"
