"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","18371644","S","SFR/D","1605","CARLA RIDGE   ","BEVH","C01","STD","$6,300,000","$1,542.23","5/4,0,1,0","4085/","1961","0.5878/25,603","7/7","Y","Y","2.5","09/04/18","CLAW"
"1","18368604","S","SFR/D","1600","SAN YSIDRO DR  ","BEVH","C02","STD","$5,433,500","$1,724.37","4/4,0,0,0","3151/","2018","0.3459/15,067","0/0","N","Y","2.5","07/20/18","CLAW"
"1","SR18187186","S","SFR/D","3146","Curts AVE  ","LA","C09","STD","$840,000","$1,019.42","2/1,0,0,0","824/A","1938/ASR","0.1219/5,309","1/1","N","N","2.5","08/29/18","CRIS"
"1","18367706","S","CONDO","8559","ALCOTT ST   #201","LA","C09","STD","$862,000","$483.45","2/2,0,1,0","1783/","1991","0.3435/14,963","12/12","","N","2.5","08/24/18","CLAW"
"1","OC18186874","S","SFR/D","3261","Iowa ST  ","CM","C1","STD","$870,000","$495.44","3/2,0,0,0","1756/A","1960/ASR","0.1379/6,005","5/5","Y","N","2.5","09/03/18","CRMLSM"
"1","PW18188195","S","SFR/D","2837","Europa DR  ","CM","C1","STD","$910,000","$429.25","5/2,0,1,0","2120/A","1963/APP","0.1719/7,490","33/33","N","N","2.5","09/06/18","CRMLSM"
"1","PW18186029","S","CONDO/A","810","Baker ST   #108","CM","C3","STD","$490,000","$364.31","3/2,0,0,0","1345/A","1983/BLD","0.0023/100","9/9","N","N","2.25","09/11/18","CRMLSM"
"1","OC18187026","S","SFR/A","120","Yorktown LN  ","CM","C4","STD","$566,000","$398.59","4/2,0,0,0","1420/A","1966/ASR","0.0321/1,400","7/7","N","N","2","08/30/18","CRMLSM"
"1","18372034","S","CONDO","851 N","KINGS RD   #211","WHO","C10","STD","$985,000","$615.62","2/2,0,0,0","1600/","1981","0.7183/31,290","14/14","Y","N","2.5","09/17/18","CLAW"
"1","18371700","S","SFR/D","661","MILDRED AVE  ","VEN","C11","STD","$1,950,000","$887.98","4/2,0,1,0","2196/O","1981","0.0863/3,759","11/49","Y","N","2.5","09/07/18","CLAW"
"1","18356682","S","SFR/D","1347","VIENNA WAY  ","VEN","C11","STD","$2,625,500","$2,440.06","2/1,0,0,0","1076/A","1939","0.2501/10,896","0/0","","N","2.5","06/06/18","CLAW"
"1","18371506","S","SFR/D","401","CARROLL CANAL   ","VEN","C11","STD","$2,795,000","$1,284.47","3/3,0,0,0","2176/","1982","0.0551/2,401","18/192","Y","N","2.5","09/17/18","CLAW"
"1","18371722","S","CONDO","4211","REDWOOD AVE   #303","LA","C12","STD","$886,000","$791.07","2/1,1,0,0","1120/","2010","0.8838/38,497","6/6","Y","N","2.5","08/29/18","CLAW"
"1","18369906","S","CONDO","13600","MARINA POINTE DR   #1108","MR","C12","STD","$1,305,000","$701.61","2/2,0,1,0","1860/D","1999","","1/1","Y","Y","2.5","07/20/18","CLAW"
"1","18372052","S","CONDO","6","NORTHSTAR ST   #201","MR","C12","STD","$1,883,000","$1,883.00","2/2,0,0,0","1000/SEE","1969","0.4255/18,535","8/8","Y","N","2.5","08/28/18","CLAW"
"1","18371112","S","SFR/D","11275","REGENT ST  ","LA","C13","STD","$892,500","$854.89","2/1,0,1,0","1044/A","1948/ASR","0.1193/5,196","10/10","N","N","2.5","09/06/18","CLAW"
"1","18371742","S","CONDO","2811","ARIZONA AVE   #2","SM","C14","STD","$1,368,000","$840.29","2/2,0,1,0","1628/AP","1991","0.184/8,017","11/11","Y","N","2.5","09/11/18","CLAW"
"1","18371680","S","CONDO","122","OCEAN PARK    #506","SM","C14","STD","$1,415,000","$991.59","2/2,0,0,0","1427/","1987","4.5034/196,170","24/24","Y","","2.5","09/06/18","CLAW"
"1","18371760","S","SFR/D","545","SWARTHMORE AVE  ","PACPAL","C15","STD","$2,600,000","$1,530.31","3/2,0,0,0","1699/A","1928","0.1147/4,995","14/14","N","N","2.5","09/11/18","CLAW"
"1","18371816","S","SFR/D","1422","EL BOSQUE CT  ","PACPAL","C15","STD","$2,904,000","$631.30","5/5,0,1,0","4600/","1987","0.405/17,640","21/21","Y","Y","2.5","09/11/18","CLAW"
"1","CV18185998","S","SFR/D","404 E","60th ST  ","LA","C16","STD","$330,000","$274.09","2/1,0,0,0","1204/A","1908/ASR","0.124/5,401","3/3","N","N","2.5","08/29/18","CRMLSM"
"1","WS18186989","S","SFR/D","1833 S","Orange DR  ","LA","C16","STD","$1,055,000","$762.28","3/1,1,0,0","1384/A","1945/ASR","0.1607/7,000","6/6","N","N","2.5","09/13/18","CRMLSM"
"1","18371798","S","SFR/D","6241","LINDENHURST AVE  ","LA","C19","STD","$2,300,000","$778.34","4/3,0,0,0","2955/","1926","0.1423/6,199","0/0","","N","2.5","08/30/18","CLAW"
"1","18371786","S","SFR/D","6015 N","Beachwood LN  ","HLW","C20","STD","$1,089,000","$591.53","3/2,0,1,0","1841/","2018","0.0236/1,029","2/2","Y","N","2.5","09/13/18","CLAW"
"1","18371396","S","SFR/D","5317","INGLEWOOD   ","CULV","C28","STD","$780,000","$760.23","1/1,0,0,0","1026/","1952","0.0744/3,240","13/13","N","N","2.5","09/11/18","CLAW"
"1","18371126","S","CONDO","7111","LA TIJERA BLVD   #A102","LA","C29","STD","$535,000","$528.13","2/2,0,0,0","1013/","1991/ASR","0.5581/24,310","11/11","","N","2.5","09/05/18","CLAW"
"1","18371640","S","SFR/D","8631","WILEY POST AVE  ","LA","C29","STD","$1,250,000","$526.76","4/3,0,0,0","2373/","1943/ASR","0.1788/7,790","18/18","N","N","2.5","09/14/18","CLAW"
"1","18371598","S","CONDO","8600","TUSCANY AVE   #219","PDLR","C31","STD","$631,000","$731.17","1/1,0,1,0","863/A","1981","1.5901/69,265","14/14","Y","","2.5","09/12/18","CLAW"
"1","18368482","S","CONDO","328","CULVER    #B","PDLR","C31","STD","$690,000","$764.97","1/1,0,0,0","902/","1979","0.1299/5,657","7/7","Y","N","2.5","09/07/18","CLAW"
"1","18368198","S","CONDO","8300","MANITOBA ST   #109","PDLR","C31","STD","$690,000","$683.17","2/2,0,0,0","1010/","1984","2.0066/87,407","6/6","Y","Y","2.5","09/13/18","CLAW"
"1","RS18186270","S","SFR/D","5019","Denker AVE  ","LA","C34","STD","$450,000","$334.82","2/1,0,0,0","1344/A","1913/ASR","0.1224/5,333","1/214","Y","N","2","08/22/18","CRMLSM"
"1","18370280","S","CONDO","13075","PACIFIC PROMENADE    #413","PLV","C39","STD","$760,000","$875.58","1/1,0,1,0","868/A","2003","1.1705/50,985","9/9","","","2.5","09/14/18","CLAW"
"1","DW18186742","S","SFR/D","1622 E","40th PL  ","LA","C42","STD","$340,000","$813.40","3/2,0,0,0","418/A","1915/ASR","0.0601/2,619","5/40","N","N","3","08/30/18","CRMLSM"
"1","18368648","S","CONDO","460 S","SPRING ST   #1002","LA","C42","STD","$610,000","$847.22","1/1,0,0,0","720/","1912","0.7068/30,787","9/9","Y","N","2.5","09/11/18","CLAW"
"1","SR18187597","S","SFR/D","27656","Cordovan DR  ","CANC","CAN1","STD","$536,500","$273.72","3/2,0,0,1","1960/A","2002/ASR","1.6098/70,124","13/13","Y","N","2.5","09/14/18","CRIS"
"1","OC18187813","S","SFR/D","3309","Sage ST  ","TUS","CG","STD","$1,080,000","$388.91","5/3,0,0,0","2777/A","2007/ASR","0.126/5,489","3/3","N","N","2.5","09/10/18","CRMLSM"
"1","SR18186753","S","SFR/D","9300","Cima De Lago ST  ","CHT","CHT","STD","$549,000","$307.05","3/2,0,0,0","1788/A","1990/ASR","0.1378/6,001","0/0","Y","N","1000","08/02/18","CRIS"
"1","180042663","S","SFR/D","1058","Second Ave   ","CHU","CHU","","$400,000","$319.23","4/2,0,0,0","1253/A","1957","0.17/7,400","0/0","","","2.5","07/27/18","SAND"
"1","DW18187419","S","SFR/D","10305","Vultee AVE  ","DOW","D1","STD","$1,200,000","$269.30","6/6,0,0,0","4456/A","2008/ASR","0.315/13,723","0/0","Y","Y","1","09/13/18","CRMLSM"
"1","DW18187542","S","SFR/D","7957","Conklin ST  ","DOW","D3","PRO","$430,000","$353.62","3/2,0,0,0","1216/A","1953/ASR","0.1222/5,323","0/0","N","N","1.5","08/23/18","CRMLSM"
"1","PW18186778","S","SFR/D","7737","Arnett ST  ","DOW","D3","STD","$610,000","$387.55","3/2,0,0,0","1574/A","1950/ASR","0.1169/5,092","13/13","N","N","2.5","09/07/18","CRMLSM"
"1","JT18187849","S","SFR/D","7451","Goleta AVE  ","YCCV","DC533","STD","$195,000","$136.36","3/2,0,0,0","1430/A","1992/ASR","0.2066/9,000","1/1","Y","N","3","08/27/18","CRMLSM"
"1","JT18188091","S","SFR/D","2505","Balsa AVE  ","YCCV","DC574","STD","$171,500","$175.00","2/1,0,0,0","980/T","1957/ASR","5.6/243,936","6/6","Y","N","3","09/06/18","CRMLSM"
"1","18370704PS","S","SFR/D","57625","MARIQUITA RD  ","LNDR","DC591","REO","$74,000","$94.87","1/1,0,0,0","780/","1961","2.5/108,900","15/15","Y","N","3","08/31/18","CLAW"
"1","OC18186363","S","SFR/D","25621","Purple Sage LN  ","SJ","DO","STD","$910,500","$436.06","3/2,0,0,0","2088/A","1971/ASR","0.1833/7,986","5/5","Y","N","2.5","09/04/18","CRMLSM"
"1","OC18186450","S","SFR/D","4472","Robinwood CIR  ","IR","EC","STD","$735,000","$625.00","3/2,0,0,0","1176/A","1971/ASR","0.1148/5,000","0/0","Y","N","2.5","08/06/18","CRMLSM"
"1","SR18187062","S","SFR/D","11437 N","Ostrom AVE  ","GH","GH","STD","$619,500","$398.39","3/1,1,0,0","1555/A","1973/ASR","0.1445/6,294","12/12","Y","Y","2.5","09/12/18","CRIS"
"1","SR18186485","S","SFR/D","15714","San Jose ST  ","GH","GH","STD","$640,000","$380.73","3/3,0,1,0","1681/A","1954/ASR","0.1733/7,548","6/6","N","N","2.5","09/07/18","CRIS"
"1","SR18186758","S","SFR/D","13373","Golden Valley LN  ","GH","GH","STD","$862,000","$284.58","5/4,0,0,0","3029/A","1979/ASR","0.175/7,621","4/4","N","N","2.5","08/28/18","CRIS"
"1","PI18187141","S","SFR/D","1043","Ritchie RD  ","GRVC","GRVC","STD","$485,000","$621.79","2/1,0,0,0","780/A","1947/PUB","0.1331/5,800","14/14","Y","N","2.5","09/12/18","CRMLSM"
"1","PW18187715","S","CONDO/A","733 S","Manhattan PL   #306","LA","HPK","STD","$613,000","$537.72","2/2,0,0,0","1140/A","2008/ASR","","14/14","Y","N","2.25","09/14/18","CRMLSM"
"1","IV18188055","S","SFR/D","11","Blazing Star   ","IR","IRSP","STD","$832,500","$321.30","4/3,0,0,0","2591/A","1975/ASR","0.124/5,400","7/7","N","N","16000","09/17/18","CRMLSM"
"1","NP18186827","S","TWNHS/A","5846","Caminito Empresa   ","LAJ","LAJ","STD","$995,000","$455.79","3/2,0,1,0","2183/A","1986/PUB","1.824/79,454","1/1","Y","N","2.5","09/07/18","CRMLSM"
"1","OC18187298","S","SFR/D","3","Fern Haven Farm   ","LD","LD","STD","$689,900","$418.12","3/2,0,1,0","1650/E","2004/BLD","0.0539/2,346","11/11","Y","N","2.25","09/10/18","CRMLSM"
"1","LG18188117","S","SFR/A","68","Siena   ","LN","LNSLT","STD","$1,200,000","$673.40","3/2,0,1,0","1782/A","1989/ASR","0.2077/9,047","0/0","Y","N","2.5","08/07/18","CRMLSM"
"1","LG18188170","S","SFR/D","2870","Zell DR  ","LB","LV","STD","$1,700,000","$870.90","3/2,0,1,0","1952/A","1964/PUB","0.1832/7,979","3/217","Y","N","2.5","09/10/18","CRMLSM"
"1","LG18187573","S","CONDO/A","1585","S Coast HWY   #42","LB","LV","STD","$2,200,000","$1,904.76","2/2,0,0,0","1155/E","1962/SLR","","32/32","Y","N","2.5","09/17/18","CRMLSM"
"1","OC18186852","S","SFR/D","11229","Pantheon ST  ","NWK","M1","STD","$440,000","$338.72","3/1,0,0,0","1299/A","1952/ASR","0.1427/6,215","8/8","N","N","3","08/29/18","CRMLSM"
"1","RS18187180","S","SFR/D","11433","Mclaren ST  ","NWK","M1","STD","$450,000","$540.87","2/1,0,0,0","832/A","1947/ASR","0.1377/5,997","3/3","Y","N","2","09/04/18","CRMLSM"
"1","PW18187560","S","SFR/D","12009","Gridley RD  ","NWK","M1","STD","$530,000","$469.03","3/1,0,0,0","1130/A","1951/ASR","0.1256/5,470","6/6","Y","N","2","09/07/18","CRMLSM"
"1","DW18187416","S","TWNHS/D","10404","Orchid WAY  ","SFS","M2","STD","$555,000","$288.46","4/3,0,0,0","1924/A","2013/ASR","2.0763/90,443","1/130","N","N","2","08/01/18","CRMLSM"
"1","OC18186405","S","CONDO/A","13546","La Jolla CIR   #209B","LAM","M3","STD","$410,000","$386.79","2/2,0,0,0","1060/E","1975/BLD","7.4744/325,583","9/9","Y","N","2.5","08/24/18","CRMLSM"
"1","LG18188096","S","SFR/D","12","Saint John   ","DP","MB","STD","$809,000","$410.66","3/2,0,1,0","1970/A","1988/ASR","0.0643/2,800","28/71","N","N","2.5","09/06/18","CRMLSM"
"1","OC18187209","S","CONDO/A","26241","Via Roble    #17","MV","MN","STD","$429,900","$383.84","3/1,1,0,0","1120/P","1973/PUB","183.9713/8,013,790","4/4","Y","N","2.5","09/07/18","CRMLSM"
"1","MP18187552","S","SFR/D","4973","State Highway 140   ","MARP","MP1","STD","$299,000","$372.35","2/1,0,0,0","803/A","1956/ASR","0.67/29,185","0/0","Y","N","3","09/13/18","CRMLSM"
"1","OC18187875","S","SFR/D","2","Parremo   ","MV","MS","STD","$855,000","$342.55","5/3,0,0,0","2496/A","1994/ASR","0.1247/5,430","7/98","N","N","2.5","09/10/18","CRMLSM"
"1","NP18186146","S","CONDO/D","2250","Newport BLVD   #21","NB","N8","STD","$2,900,000","$1,441.35","3/3,0,1,0","2012/B","2018/BLD","","0/0","Y","N","2","08/01/18","CRMLSM"
"1","218009737","S","SFR/D","3836","San Clemente CT  ","NPK","NBPK","STD","$619,000","$467.52","3/2,0,0,0","1324/P","1976/ASR","0.11/5,000","25/25","","N","2.5","08/31/18","VCRDS"
"1","SR18186165","S","TWNHS/D","23606","Muir    #70","VAL","NBRG","STD","$420,000","$379.75","2/2,0,1,0","1106/A","1995/ASR","1.6701/72,748","7/7","N","N","2.5","09/14/18","CRIS"
"1","SR18186754","S","TWNHS/A","5054","Cahuenga BLVD  ","NHLW","NHO","STD","$670,000","$454.24","3/2,0,1,0","1475/A","2006/ASR","0.1527/6,650","6/6","Y","N","2.5","09/17/18","CRIS"
"1","SR18185989","S","SFR/D","16128","Septo ST  ","NOH","NOH","STD","$565,000","$457.86","3/2,0,0,0","1234/A","1953/ASR","0.2137/9,308","21/21","N","N","2.5","08/29/18","CRIS"
