"","Listing ID","S","Sub Type","St#","St Name","City","MLS Area","SLC","L/C Price","Price Per Square Foot","Br/Ba","Sqft","YrBuilt","Ac/LSqft","DOM/CDOM","View YN","Pool Private YN","BAC","Contract Status Change Date","MLS"
"1","180041615","S","MANL/D","501","Anita Street    #173","CHU","","","$45,000","$53.57","2/1,0,1,0","840/","1970","","42/42","","N","1000","09/14/18","SAND"
"1","180041682","S","SFR/D","350","Riverside Avenue   ","SGLF","","","$170,000","$253.73","2/1,0,0,0","670/A","1972","","28/28","","N","2.5","09/07/18","SAND"
"1","180041578","S","CONDO/A","146 S","PIERCE   ","ELC","","","$210,000","$285.33","1/1,0,0,0","736/A","1980","","4/4","","N","2.5","08/23/18","SAND"
"1","MC18182034","S","SFR/D","67","Brimmer RD  ","MERC","","STD","$235,000","$159.43","3/2,0,0,0","1474/A","2006/ASR","0.1311/5,711","9/9","Y","N","2.5","09/17/18","CRMLSM"
"1","180041798","S","CONDO","9723","Winter Gardens Blvd    #131","LAK","","","$237,500","$357.68","2/1,0,0,0","664/A","1971/ASR","","10/10","","N","2.25","09/14/18","SAND"
"1","MC18181939","S","SFR/D","1214","La Playa CT  ","MERC","","STD","$250,000","$185.19","3/2,0,0,0","1350/A","1991/ASR","0.16/6,970","3/3","Y","N","2.5","09/05/18","CRMLSM"
"1","180041683","S","CONDO/A","41410","Juniper St    #111","MUR","","","$270,500","$219.03","3/2,0,0,0","1235/A","2005","","7/7","","N","2.5","09/05/18","SAND"
"1","180041869","S","CONDO/A","6406","Friars Rd.    #133","SD","","","$275,000","$416.04","1/1,0,0,0","661/A","1972","","8/8","","N","2.25","08/27/18","SAND"
"1","FR18181910","S","SFR/D","563","Rambler RD  ","MERC","","STD","$295,000","$191.68","4/2,0,0,0","1539/A","1973/PUB","0.19/8,276","13/13","Y","Y","2.5","09/07/18","CRMLSM"
"1","SN18183545","S","SFR/D","1","Cloud CT  ","CHIC","","STD","$300,000","$275.48","3/2,0,0,0","1089/A","1998/ASR","0.09/3,920","9/9","Y","N","2.5","09/07/18","CRMLSM"
"1","180041802","S","SFR/D","2204","Oak Hill Drive   ","ESC","","","$305,900","$298.15","2/1,0,0,0","1026/A","1913/ASR","","31/31","N","N","2.5","08/29/18","SAND"
"1","180041588","S","CONDO","8834","Ln    #D","SAN","","","$312,500","$330.69","2/2,0,0,0","945/A","1986/ASR","","16/16","Y","N","2.5","09/11/18","SAND"
"1","180041876","S","CONDO/A","1575","Mendocino Dr    #196","CHU","","","$330,000","$279.66","3/1,0,1,0","1180/A","1972","","4/4","N","N","2.5","08/31/18","SAND"
"1","180041673","S","CONDO/A","3041","Chipwood Ct   ","SPV","","","$330,000","$360.26","2/2,0,0,0","916/P","1987","","6/6","","N","2.5","09/04/18","SAND"
"1","180041604","S","CONDO/A","4753","Bancroft St    #4","SD","","","$335,000","$400.24","2/1,0,0,0","837/A","1974","","12/12","N","N","2.5","08/30/18","SAND"
"1","180041658","S","CONDO/A","10643","CARMEL MOUNTAIN ROAD   ","SD","","","$340,000","$419.75","2/1,0,0,0","810/A","1971","","3/3","","N","2.25","08/28/18","SAND"
"1","180041480","S","CONDO","6171","RANCHO MISSION RD    #311","SD","","","$349,900","$404.04","2/1,0,0,0","866/A","1979/ASR","","7/7","Y","N","2.5","08/29/18","SAND"
"1","180041611","S","CONDO","305","Ranchwood Gln   ","ESC","","","$352,000","$333.02","2/2,0,0,0","1057/A","1978/ASR","","0/0","Y","N","2.5","08/30/18","SAND"
"1","MC18183405","S","SFR/A","4430","Everson WAY   #50","MERC","","STD","$357,900","$156.97","4/2,0,1,0","2280/B","2018/BLD","0.1653/7,200","14/14","Y","N","3","08/31/18","CRMLSM"
"1","180041884","S","CONDO/A","1080","Park Blvd    #1004","SD","","","$365,000","$427.40","0/1,0,0,0","854/A","2007","","8/8","N","N","2.5","09/11/18","SAND"
"1","180041483","S","DPLX","137","Avenida Del Gado   ","OCE","","","$370,000","$447.40","2/1,0,0,0","827/A","1976","","22/22","","N","2.5","09/10/18","SAND"
"1","180041839","S","CONDO","1893","Lorient Pl    #2411","CHU","","","$370,000","$281.37","3/2,0,0,0","1315/A","2007/ASR","","39/39","N","N","2.5","09/06/18","SAND"
"1","180041567","S","CONDO/A","425 W","Beech St    #1407","SD","","","$375,000","$567.32","1/1,0,0,0","661/A","2004","","7/50","Y","N","2.5","09/06/18","SAND"
"1","180041590","S","TWNHS/A","6909","Parkside Ave   ","SD","","","$377,000","$322.22","3/2,0,0,0","1170/A","1981","","15/23","","N","2.5","09/11/18","SAND"
"1","180041857","S","CONDO/A","10789","Andrea Terrace    #B","SAN","","","$385,000","$297.53","3/2,0,1,0","1294/A","1986/ASR","","7/7","Y","N","2.5","08/24/18","SAND"
"1","180041680","S","CONDO/A","4286","Humboldt Bay Way   ","OCE","","","$385,000","$322.72","3/2,0,0,0","1193/A","1982","","9/9","Y","N","2.5","08/31/18","SAND"
